source,title,page,published_on,access_date,source_url,archive_url,archive_timestamp,source_id,alias_source_id,country,key,publication_title,new_pub_id
7f1edbe1-3c12-45ac-bd31-f33c4a56824c,"Troops kill 4, arrest 9 militiamen in Bauchi State",,2018-03-19,2018-08-03,https://www.vanguardngr.com/2018/03/troops-kill-4-arrest-9-militiamen-bauchi-state-2/,https://web.archive.org/web/20180803155317/https://www.vanguardngr.com/2018/03/troops-kill-4-arrest-9-militiamen-bauchi-state-2/,,7f1edbe1-3c12-45ac-bd31-f33c4a56824c,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
800315da-3405-4865-ad8c-0246a1669b6d,Boko Haram - Minimah Hints of Major Army Shake Up,,2014-08-23,,http://allafrica.com/stories/201408250887.html,No archive available,,800315da-3405-4865-ad8c-0246a1669b6d,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
827dc295-f0d2-4c9e-9f78-6006dc87fb70,GOC - New Security Role Won't Overwhelm Army,,2013-09-14,,http://www.thisdaylive.com/articles/goc-new-security-role-won-t-overwhelm-army/158976/,https://web.archive.org/web/20130916231734/http://www.thisdaylive.com/articles/goc-new-security-role-won-t-overwhelm-army/158976,2013-09-16T23:17:34,827dc295-f0d2-4c9e-9f78-6006dc87fb70,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
8287b786-f4c9-40d0-a333-daad5a2ad08f,Amnesty - Nigerian Military Committing War Crimes,,2014-08-05,,http://allafrica.com/stories/201408050258.html,No archive available,,8287b786-f4c9-40d0-a333-daad5a2ad08f,,Nigeria,NigeriaDaily Trust,Daily Trust,ffc4fc8e-45e1-4ddb-9faa-55c7e16f81ee
829dcb6f-b0c7-40d8-85b0-d4f9d57aef5d,Four Soldiers Killed As Boko Haram Attacks Borno Village,,2013-10-28,,http://allafrica.com/stories/201310280190.html,No archive available,,829dcb6f-b0c7-40d8-85b0-d4f9d57aef5d,,Nigeria,NigeriaLeadership,Leadership,8f96e06a-1bfa-47a4-b05f-e6360770aca4
850e420d-1511-4d0a-82fc-a717d59924ae,"No going back, fight to finish, Buratai charges troops",,2018-07-19,2018-08-09,https://www.vanguardngr.com/2018/07/no-going-back-fight-to-finish-buratai-charges-troops/,https://web.archive.org/web/20180809184246/https://www.vanguardngr.com/2018/07/no-going-back-fight-to-finish-buratai-charges-troops/,,850e420d-1511-4d0a-82fc-a717d59924ae,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
8989202e-9d26-4da2-b0c5-61867a645b84,Awala Is New GOC 3 Division - Army,,2013-02-02,,http://allafrica.com/stories/201302020080.html,No archive available,,8989202e-9d26-4da2-b0c5-61867a645b84,,Nigeria,NigeriaDaily Trust,Daily Trust,ffc4fc8e-45e1-4ddb-9faa-55c7e16f81ee
8ddb3eb0-5e10-4801-94ea-6d4de7b1fee1,2015 - Army Prepares Agaist Violence,,2013-11-30,,http://allafrica.com/stories/201312020385.html,No archive available,,8ddb3eb0-5e10-4801-94ea-6d4de7b1fee1,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
8e93f9fe-9bb5-4143-86e5-c6950d62eedf,700 Soldiers Leave for Liberia,,2013-03-11,,http://allafrica.com/stories/201303110659.html,No archive available,,8e93f9fe-9bb5-4143-86e5-c6950d62eedf,,Nigeria,NigeriaDaily Trust,Daily Trust,ffc4fc8e-45e1-4ddb-9faa-55c7e16f81ee
90050408-1e9c-4d11-ab4b-e978bb4aab6a,Army redeploys 127 senior officers,,2014-02-13,,http://www.punchng.com/news/army-redeploys-127-senior-officers/,https://web.archive.org/web/20150726182529/http://www.punchng.com/news/army-redeploys-127-senior-officers/,2015-07-26T18:25:29,90050408-1e9c-4d11-ab4b-e978bb4aab6a,,Nigeria,NigeriaThe Punch,The Punch,fd1c5183-a370-442a-8002-e174a9d8d87a
9020c232-c6a9-4946-9eb4-35161ffdec5b,Defence Chief Declares 'Red Alert' in N-Delta,,2008-01-09,,http://allafrica.com/stories/200801100458.html,No archive available,,9020c232-c6a9-4946-9eb4-35161ffdec5b,,Nigeria,NigeriaVanguard,Vanguard,33dae0fb-dbca-4d74-8e52-032b7c337789
91f51be6-def2-464f-b0a7-1743f3c93cb5,Military Intensifies Campaign Against Insurgents' Stronghold,,2013-05-18,,http://allafrica.com/stories/201305200283.html,No archive available,,91f51be6-def2-464f-b0a7-1743f3c93cb5,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
92167d54-96bb-4dcb-90aa-b185584c5c25,"Army, Navy Redeploy Senior Officers",,2014-02-13,,http://www.thisdaylive.com/articles/army-navy-redeploy-senior-officers/171306/,https://web.archive.org/web/20150207223407/http://www.thisdaylive.com/articles/army-navy-redeploy-senior-officers/171306/,2015-02-07T22:34:07,92167d54-96bb-4dcb-90aa-b185584c5c25,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
92afd7db-26be-4eed-b0b6-4b18eb521df0,21 Brigade of the Nigerian Army gets new commander,,2017-05-01,,https://www.dailytrust.com.ng/news/general/21-brigade-of-the-nigerian-army-gets-new-commander/195748.html,https://web.archive.org/web/20170501054017/https://www.dailytrust.com.ng/news/general/21-brigade-of-the-nigerian-army-gets-new-commander/195748.html,2017-05-01T05:40:17,92afd7db-26be-4eed-b0b6-4b18eb521df0,,Nigeria,NigeriaDaily Trust,Daily Trust,ffc4fc8e-45e1-4ddb-9faa-55c7e16f81ee
