source	matched_on	person:name	person:alias	person:org	person:role	person:title	person:rank
002fcbe4-503c-400d-8cc0-77a395570ade	name	Lamidi Adeosun	Adeosun;LO Adeosun;O Adeosun	7 Division	Commander	General Officer Commanding	Major General
002fcbe4-503c-400d-8cc0-77a395570ade	alias	Fatai Oladipo Alli	Fatai Alli ; F.O. Alli ; F.O.Alli ; FO Ali	3 Armoured Division	Commander	General Officer Commanding	Major General
00d9bab2-fd38-43c8-8f20-0d89570010ae	alias	Kenneth Tobia Minimah	Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah	81 Division	Commander	General Officer Commanding	Major General
017326a6-80d1-44de-ad81-a72f47318254	alias	Tukur Yusufu Buratai	Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
017326a6-80d1-44de-ad81-a72f47318254	alias	Tukur Yusufu Buratai	Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
017326a6-80d1-44de-ad81-a72f47318254	alias	Adeniyi Oyabade	Adeniyi Oyebade	1 Mechanised Division	Commander	General Officer Commanding	Major General
01a93cea-4492-4554-a59c-aaad75daa2d7	name	Adamu T. Ibrahim	Adamu Ibrahim ; A. T. Ibrahim ; AT Ibrahim	82 Division	Commander	General Officer Commanding	Major General
02dba175-d2cf-4eb1-87d5-22207adb3155	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
02dba175-d2cf-4eb1-87d5-22207adb3155	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
02dba175-d2cf-4eb1-87d5-22207adb3155	alias	Kenneth Tobia Minimah	Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah	81 Division	Commander	General Officer Commanding	Major General
043dfc11-fa5b-4381-8769-7763eef70a1d	alias	Ahmed Tijani Jibrin	AT Jibrin ; A. T Jibrin ; Ahmad Jibrin	2 Mechanised Division	Commander	General Officer Commanding	Major General
047b7dbf-b4e6-4848-b868-0ad63d226aa4	name	Hassan Thlama		Buni Yadi Police Division	Commander	Divisional Police Officer	Superintendent of Police
07c77b18-66b2-42dc-83be-82da10e9ceec	name	Abayomi Shogunle		Nigeria Police Force	Deputy Force Public Relations Officer	Deputy Force Public Relations Officer	Chief Superintendent of Police
07c77b18-66b2-42dc-83be-82da10e9ceec	alias	Solomon Ehigiator Arase	Solomon Arase ; Arase Ehigiator Solomon	Force Headquarters	Commander	Inspector General of Police	Inspector General of Police
07c77b18-66b2-42dc-83be-82da10e9ceec	alias	Solomon Ehigiator Arase	Solomon Arase ; Arase Ehigiator Solomon	Nigeria Police Force	Commander	Inspector General of Police	Inspector General of Police
07eb86a9-ddb5-4051-a3c5-b5b0892fabbe	alias	Tukur Yusufu Buratai	Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
07eb86a9-ddb5-4051-a3c5-b5b0892fabbe	alias	Tukur Yusufu Buratai	Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
09114e09-224f-4615-aeaa-0edb8efecbe9	name	Isaac Obiakor	CI Obiakor ; Isaac	2 Mechanised Division	Commander	General Officer Commanding	Major General
0a33bba3-ef02-46e0-897c-0195d43ab626	name	MY Ibrahim	Ibrahim	7 Division	Commander	Acting General Officer Commanding	Brigadier General
0a33bba3-ef02-46e0-897c-0195d43ab626	alias	Ahmadu Mohammed	Mohammed Abdulkadir ; Abdulkadir ; A Mohammed	7 Division	Commander	General Officer Commanding	Major General
0a33bba3-ef02-46e0-897c-0195d43ab626	alias	Unsaid Bindawa	Junaid Bindawa;Bindawa;JS Bindawa;Bindawa;Unsaid Bindawa	7 Division	Commander	General Officer Commanding	Major General
0a33bba3-ef02-46e0-897c-0195d43ab626	alias	Lamidi Adeosun	Adeosun;LO Adeosun;O Adeosun	7 Division	Commander	General Officer Commanding	Major General
0a33bba3-ef02-46e0-897c-0195d43ab626	alias	Obida T. Ethnan	Obidah T. Ethan ; Obidah Ethan ; O. T. Etan ; OT Ethan	7 Division	Commander	General Officer Commanding	Major General
0aedf7c7-979a-4e31-8e21-8089f7e708f8	alias	Abdulrahman Danbazzau	AB Dambazau ; Abdulrahaman Dambazau ; AB Danabazzau ; Abuja Danbazzau	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
0b4ea4e0-fade-4d35-b449-c36e265795d3	alias	Jack Okechukwu Nwaogbo	Jack O. Nwaogbo ; Jack Nwaogbo ; Jack Nwogbo ; Jack Nwaoga ; J. O. Nwaogbo ; Nwoga ; Okechukwu Nwaogbo	3 Armoured Division	Commander	General Officer Commanding	Major General
0c959a83-fa3a-43ba-8eda-c5bb7885c371	name	Sunday Idoko	Idoko ; Sunday O. Idoko ; S.O Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
0c959a83-fa3a-43ba-8eda-c5bb7885c371	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
0c959a83-fa3a-43ba-8eda-c5bb7885c371	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
0cd93513-4e74-4e85-a347-e698f6a553c2	alias	Jack Okechukwu Nwaogbo	Jack O. Nwaogbo ; Jack Nwaogbo ; Jack Nwogbo ; Jack Nwaoga ; J. O. Nwaogbo ; Nwoga ; Okechukwu Nwaogbo	3 Armoured Division	Commander	General Officer Commanding	Major General
0d12b749-2640-414a-bda6-7b4c9f46ffaa	alias	Ebiobowei Bonna Awala	Ebobowei Bona Awala ; Ebiobowei Awala ; E.B Awala ; EB Awala	3 Armoured Division	Commander	General Officer Commanding	Major General
106bf4eb-3464-4d03-8d95-e3802a8369a1	name	Saleh Maina	S. Maina	3 Armoured Division	Commander	General Officer Commanding	Major General
1269b9a8-4391-4982-9f87-e8946788adfc	name	Adamu Baba Abubakar	Adamu Abubakar	82 Division	Commander	General Officer Commanding	Major General
131d3cca-4cf7-47ee-a873-1f0eff8d5ed1	name	Enobong Okon Udoh		6 Division	Commander	General Officer Commanding	Major General
152dda04-94ea-496c-a844-17c614fa219c	name	Ibrahim Attahiru	I. Attahiru ; I Attahiru	82 Division	Commander	General Officer Commanding	Major General
15917041-68d6-4577-893d-d100a94ac4e9	name	Kenneth Osuji	KC Osuji ; K.C Osuji	1 Mechanised Division	Commander	General Officer Commanding	Major General
15ae1b7a-984e-492b-913a-7289cd9cbf4a	alias	Ola Sa'ad Ibrahim	Ola Sa'ad Ibrahim ; Ola Ibrahim ; Ole Sa'ad Ibrahim ; Ola Ibrahim Sa'ad ; Ola Saa'ad Ibrahim	Defence Headquarters	Commander	Chief of Defence Staff	Admiral
15c50319-cc70-4cae-8116-54a336cac8f7	alias	Mohammad Danhanne Issa	Mohammed D. Isah ; Mohammed Isah ; MD Isah	82 Division	Commander	General Officer Commanding	Major General
15c50319-cc70-4cae-8116-54a336cac8f7	alias	Saleh Maina	S. Maina	3 Armoured Division	Commander	General Officer Commanding	Major General
17a7a0b4-17d8-47bf-9a00-c2c1c99c5685	name	Garba Ayodele Wahab	GA Wahab ; Garba Wahab ; Gani Wahab ; Garba A. Wahab	1 Mechanised Division	Commander	General Officer Commanding	Major General
17a7a0b4-17d8-47bf-9a00-c2c1c99c5685	alias	Mohammed Abubakar	MD Abubakar ; M.D. Abubakar ; M.D Abubakar ; MD Mohammed	2 Mechanised Division	Commander	General Officer Commanding	Major General
1abd3280-e475-4047-89ab-6f3ed1066106	name	Isiaku Dikko	I A Dikko ; Diko	3 Armoured Division	Commander	General Officer Commanding	Major General
1baf156c-948b-4c99-aad3-b079246039b8	name	Ebiobowei Bonna Awala	Ebobowei Bona Awala ; Ebiobowei Awala ; E.B Awala ; EB Awala	3 Armoured Division	Commander	General Officer Commanding	Major General
1baf156c-948b-4c99-aad3-b079246039b8	alias	John Nwaoga	John Nwoga	3 Armoured Division	Commander	General Officer Commanding	Major General
1bc14945-bb31-4975-bcd1-fdbf52baea16	alias	Oluseyin Petinrin	Oluseyi Petirin	Defence Headquarters	Commander	Chief of Defence Staff	Air Marshal
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Edith Ozobia		Tarkwa Bay Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Olalekan Coker		Shomolu Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Nwachukwu Eburaja		Shasha Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Aniefiok W. Akpan		Pen Cinema Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Mohammed R. Karmal		Oworonsoki Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Afolabi Ojo		Osolu Kingdom Police Division	Commander	Divisional Police Officer	Assistant Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Sylvester O. Edet		Onipanu Police Division (Area 'H' Police Area Command)	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Williams Akintade		Oko-Oba Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Achinyan Z. Fera		Oke-Odo Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Ubanga Mary		Ojokoro Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Adepoju Olugbenga		Ogudu Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Eze Godwin		Ogombo Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Makinde Kayode		Morogbo Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Chioma Ajuwa Opara		Meiran Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Johnson Adenola		Maroko Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Rotimi Odutona		Langbasa Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Sanni Nufawa		Ketu Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Oliver Amaechi		Isokoko Police Divsion	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Angela Akaro		Isheri Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Kenneth Egbo		Isheri Oshun Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Okpaleke Obisie		Ishasi Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Jubrila Onilegbale		Irede/Ikanre Police Division	Commander	Divisional Police Officer	Deputy Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Ajewole Adebayo		Ipaja Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Ekpeghere Ibe		Ilemba Hausa Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Olorunfemi Gbenga		Ilasan Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Alaba Haruna Yahaya		Ikotun Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Ajimuda Olatunji		Iju Police Division (Area 'G' Police Area Command Lagos State Police Command)	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Ikegwuonu Obinna		Ijanikin Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Benjamin Osuji		Igando Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Folorunsho Afolabi		Ifako Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Mike Ochuko Imeke		Idimu Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Vincent O. Bello		Ibese Police Division	Commander	Divisional Police Officer	Deputy Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Titiladunyo Segun		Gowon Estate Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Michael Opete		Epe Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Philip Eze		Elere Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	John Tse		Elemoro Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Falade Michael		Dopemu Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Edmund Afraimu		Bariga Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Alhassan Ibrahim		Badagry Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Mohammed Lariski		Ayobo Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Uzoma Nwaoha		Anthony Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Victor Onyeugo		Alapere Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Adepoju A. Ilori		Alakuko Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Musa Modibbo Alim		Alagbado Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Uduak Udom Isaac		Alade Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Paul O. Adejumo		Akodo Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Onize Lawal Isah		Ajah Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	name	Grace Eze		Abattoir Police Division	Commander	Divisional Police Officer	Superintendent of Police
1c9c49c9-e02f-4bb2-be3d-da22c2f2e7cb	alias	Mohammed Mu'Azu	Mohammed Mu’azu	Seme Police Division	Commander	Divisional Police Officer	Chief Superintendent of Police
1cd668a8-d49e-4036-a376-d5ebca3c4f80	alias	Lucky E. Erabor	Lucky Irabor	Operation Lafiya Dole	Commander	Theatre Commander	Major General
1ce0d76b-6a51-4f65-9326-e28a79605ee2	name	Sunday Idoko	Idoko ; Sunday O. Idoko ; S.O Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
1d3209c9-ee92-4bea-a676-b0011d8ce434	alias	John Zaruwa	J.S. Zaruwa ; Zaruwa ; Mohammed Zaruwa ; JS Zaruwa ; JS Zaruw	3 Armoured Division	Commander	General Officer Commanding	Major General
1e04bb27-6ab6-439c-8382-e94c29965ebb	alias	Jack Okechukwu Nwaogbo	Jack O. Nwaogbo ; Jack Nwaogbo ; Jack Nwogbo ; Jack Nwaoga ; J. O. Nwaogbo ; Nwoga ; Okechukwu Nwaogbo	3 Armoured Division	Commander	General Officer Commanding	Major General
1f6a8613-bbc2-409b-b584-e26d08b8313d	alias	Adeniyi Oyabade	Adeniyi Oyebade	1 Mechanised Division	Commander	General Officer Commanding	Major General
1f6ae567-b76c-4a32-a03b-c6794028d5a0	name	Texas Chukwu		Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
1fbf7073-00b9-4a26-aaac-f61b1fd38ccd	name	Moses Obi	MB Obi	1 Mechanised Division	Commander	General Officer Commanding	Major General
20964bcf-51b2-4a03-9ea0-c514d4662918	alias	Tukur Yusufu Buratai	Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
20964bcf-51b2-4a03-9ea0-c514d4662918	alias	Tukur Yusufu Buratai	Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
213e3add-1325-4e48-b537-fa015d0a4e72	name	Tukur Yusufu Buratai	Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
213e3add-1325-4e48-b537-fa015d0a4e72	name	Tukur Yusufu Buratai	Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
227ac966-eb30-432b-904c-2864b0d72861	name	H.M. Hussani		82 Division	Commander	General Officer Commanding	Colonel
23d8e3a4-9085-4bf0-9399-4f8ff24c0f79	alias	Jack Okechukwu Nwaogbo	Jack O. Nwaogbo ; Jack Nwaogbo ; Jack Nwogbo ; Jack Nwaoga ; J. O. Nwaogbo ; Nwoga ; Okechukwu Nwaogbo	3 Armoured Division	Commander	General Officer Commanding	Major General
2403f9fa-3b7c-4a5c-becc-626fe3e609b9	alias	Hassan Umoru	Hassan Umar ; Hassan Umaru ; HA Umaru ; H. Umaru ; H Umaru	Operation Lafiya Dole	Commander	Theatre Commander	Major General
24ad030d-abe7-462d-9fb1-829df7df5c68	name	Benjamin Ahanotu (3 Armoured Division)		3 Armoured Division	Commander	Acting General Officer Commanding	Brigadier General
259b700f-fd2c-422c-85e0-e5011a25c06a	alias	Adeniyi Oyabade	Adeniyi Oyebade	1 Mechanised Division	Commander	General Officer Commanding	Major General
25c08012-69c2-4e12-a85a-604f0eee0df3	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	81 Division	Commander	General Officer Commanding	Major General
25c08012-69c2-4e12-a85a-604f0eee0df3	alias	Samaila Iliya	S Iliya	81 Division	Commander	General Officer Commanding	Major General
25c08012-69c2-4e12-a85a-604f0eee0df3	alias	Tanko Abdu	TN Abdu	81 Division	Commander	General Officer Commanding	Brigadier General
2671af60-5258-47fc-a314-a413256ddf72	alias	Tukur Yusufu Buratai	Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
2671af60-5258-47fc-a314-a413256ddf72	alias	Tukur Yusufu Buratai	Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
267c3d00-7421-46c7-9cea-0115b284ae20	alias	Tukur Yusufu Buratai	Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
267c3d00-7421-46c7-9cea-0115b284ae20	alias	Tukur Yusufu Buratai	Tukur Buratai;Tukur Yusuf Buratai;Yusuf Tukur Buratai;T.Y. Buratai;Tukur Y. Buratai;Yusuf Buratai;TY Buratai	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
267c3d00-7421-46c7-9cea-0115b284ae20	alias	Abayomi Gabriel Olonisakin	Abayomi Gabriel Olonishakin ; AG Olonisakin ; Olonishakin	Defence Headquarters	Commander	Chief of Defence Staff	General
27f1d465-80f4-48c0-b190-9d9138aa7f69	name	Samaila Iliya	S Iliya	81 Division	Commander	General Officer Commanding	Major General
2859d1a4-e501-4a5e-9d34-fe7faf6c5815	name	Uzoma Nwaoha		Anthony Police Division	Commander	Divisional Police Officer	Superintendent of Police
2de9f5ea-c360-427e-b742-f1ddfa01c0b3	name	Texas Chukwu		Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
2e620027-244c-4562-8fd4-316399876418	name	Olakunle Akinyemi	Olayinka Akinyemi ; Ola Akinyemi ; O Akinyemi ; B. Akinyemi ; O. Akinyemi	3 Armoured Division	Commander	General Officer Commanding	Major General
2f65f578-59d2-4b4f-8ae4-920927e7e598	alias	Adebayor Olanniyi	Adebayo Olaniyi ; Adebayor Olaniyi	82 Division	Commander	General Officer Commanding	Major General
2fc0f588-8af2-4c04-841c-3d44f42b6ffd	name	Victor Okwudili Ezugwu	Victor Ezeugwu ; Victor Ezugwu ; Victor Ezeogu ; Victor Ezeaogu ; VO Ezeugwu ; Victor Ezugu	7 Division	Commander	General Officer Commanding	Brigadier General
2fc7b634-375c-4cad-a662-e18ce2e6d533	name	Moses Obi	MB Obi	1 Mechanised Division	Commander	General Officer Commanding	Major General
30ac2f1e-a64f-43c4-a3e3-eb6453feae97	alias	Moses Obi	MB Obi	1 Mechanised Division	Commander	General Officer Commanding	Major General
30dd1435-d22d-4db7-9f93-fb993069ed47	name	Enobong Udoh		81 Division	Commander	General Officer Commanding	Major General
315f389c-9801-49e7-a562-440fad134991	name	Sunday Idoko	Idoko ; Sunday O. Idoko ; S.O Idoko	3 Armoured Division	Commander	General Officer Commanding	Major General
34cc8b2c-1cb1-44b2-87ae-af6e04fbbe08	name	Shehu Yusuf	S. Yusuf ; S YUSUF	82 Division	Commander	General Officer Commanding	Major General
356602e4-042e-4ad3-8bb2-f539b8644514	name	Benjamin Ahanotu (3 Armoured Division)		3 Armoured Division	Commander	General Officer Commanding	Major General
358c43bc-a056-4313-8c8c-203386ab105a	alias	Owoye Andrew Azazi	Andrew Azazi ; OA Azazi ; Owoye Azazi; Owoye Azazi	1 Mechanised Division	Commander	General Officer Commanding	Major General
35c79a6c-48a2-47bc-8afd-c122ac3b4353	alias	Tamunomieibi I. Dibi	Tamunomieibi Dibi ; Tamunomeibi Dibi ; Tanmi Dibi ; T.I. Debi ; TI Dibi ; Tammy Dibi	81 Division	Commander	General Officer Commanding	Major General
35ea21a5-cefc-4878-87e8-4cdb0cf2779e	name	Texas Chukwu		Directorate of Army Public Relations	Commander	Director of Army Public Relations	Brigadier General
361de417-fe5f-4a76-9637-144f104713db	name	Paul Dike	PC Dike	Defence Headquarters	Commander	Chief of Defence Staff	Air Marshal
36d49324-b5b6-4df5-aa99-2051fe5ea939	name	Yusha'u Mahmood Abubakar	Yusha'u Abubakar ; Yushau Abubakar	Operation Lafiya Dole	Commander	Theatre Commander	Major General
36d49324-b5b6-4df5-aa99-2051fe5ea939	alias	Yusha'u Mahmood Abubakar	Yusha'u Abubakar ; Yushau Abubakar	Operation Lafiya Dole	Commander	Theatre Commander	Major General
37094c69-f9e1-41d4-9fc1-94da22e266ff	name	Mohammad Danhanne Issa	Mohammed D. Isah ; Mohammed Isah ; MD Isah	82 Division	Commander	General Officer Commanding	Major General
3758c2f3-309c-4e23-9b81-88ce4d27f779	alias	Kenneth Tobia Minimah	Kenneth Minima ; KTJ Minimah ; Kenneth T.J Minimah ; Kenneth Minimah ; Keneth T.J Minimah ; Ken Minima ; Kelvin Miminah	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
37ea0e4c-2b65-47e3-8347-6c55d6230165	name	Mohammed Sani Ali	M.S.A. Aliyu ; MSA Aliyu ; Aliyu Aliyu	3 Armoured Division	Commander	General Officer Commanding	Brigadier General
3946c185-68a6-4248-aa19-c9278cc0ed06	alias	Garba Ayodele Wahab	GA Wahab ; Garba Wahab ; Gani Wahab ; Garba A. Wahab	1 Mechanised Division	Commander	General Officer Commanding	Major General
3a678eaa-d39f-40fd-9fcf-072f2d17d4c2	name	Paul Dike	PC Dike	Defence Headquarters	Commander	Chief of Defence Staff	Air Marshal
