source	matched_on	person:name	person:alias	person:org	person:role	person:title	person:rank
baee185f-1173-44ac-86cc-39571202c0a6	alias	Ebiobowei Bonna Awala	Ebobowei Bona Awala ; Ebiobowei Awala ; E.B Awala ; EB Awala	3 Armoured Division	Commander	General Officer Commanding	Major General
bb18283d-e1f4-438e-b7d7-be275b5086f8	name	Ibrahim Attahiru	I. Attahiru ; I Attahiru	Operation Lafiya Dole	Commander	Theatre Commander	Major General
bb63b226-f564-47bc-a3f4-c4cbd582051e	alias	Adamu T. Ibrahim	Adamu Ibrahim ; A. T. Ibrahim ; AT Ibrahim	82 Division	Commander	General Officer Commanding	Major General
bbac1cf1-2414-4be2-b566-32d40004b45a	name	Joseph Shoboiki	J.O Shoboiki ; Shoboiki ; J.O Shobeke	1 Mechanised Division	Commander	General Officer Commanding	Major General
bbac1cf1-2414-4be2-b566-32d40004b45a	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army Headquarters	Commander	Chief of Army Staff	Lieutenant General
bbac1cf1-2414-4be2-b566-32d40004b45a	alias	Azubuike Onyeabo Ihejirika	Onyeabo Azubuike Ihejirika ; Azabuike Ihejirika ; Onyeabo Ihejirika ; OA Ihejirika ; Onyeabo Azubike Ihejerika ; O. A. Ihejirika ; Onyeabor Azubuike Ihejirika ; A.O. Ihejirika ; Azubuike Ihiejirika ; Onyeabor Ihejirika ; Augustine Ihejirika ; Ihejirika	Nigerian Army	Commander	Chief of Army Staff	Lieutenant General
bbac1cf1-2414-4be2-b566-32d40004b45a	alias	Emeka CG Nwanguna	Eugene Nwanguma ; Eugene Nwanjuma	81 Division	Commander	General Officer Commanding	Major General
bbac1cf1-2414-4be2-b566-32d40004b45a	alias	Kamaldeen Role	KA Role	1 Mechanised Division	Commander	General Officer Commanding	Major General
bf0b4628-a7a4-478b-9604-be6f2f6df284	name	Jonathan Ango		Western Naval Command	Commander	Flag Officer Commanding	Rear Admiral
bf0b4628-a7a4-478b-9604-be6f2f6df284	alias	Tamunomieibi I. Dibi	Tamunomieibi Dibi ; Tamunomeibi Dibi ; Tanmi Dibi ; T.I. Debi ; TI Dibi ; Tammy Dibi	81 Division	Commander	General Officer Commanding	Major General
bf32e1a3-4e23-4036-86c3-d7367c8d1da9	alias	Adeniyi Oyabade	Adeniyi Oyebade	1 Mechanised Division	Commander	General Officer Commanding	Major General
bf7f6415-99a0-40ef-adf4-709e3d53935b	alias	Obida T. Ethnan	Obidah T. Ethan ; Obidah Ethan ; O. T. Etan ; OT Ethan	7 Division	Commander	General Officer Commanding	Major General
