Name	Source: Name	Aliases or alternative spellings (semi-colon separated)	Source: Aliases or alternative spellings	Organization	Source: Organization	Role	Source: Role	Title (official title)	Source: Title	Rank	Source: Rank
Aderemi Oyeniyi	3a591df4-3b1d-4c7c-9cfe-03b9c5c05962			232 Tank Battalion	3a591df4-3b1d-4c7c-9cfe-03b9c5c05962	Commander	3a591df4-3b1d-4c7c-9cfe-03b9c5c05962			Lieutenant Colonel	3a591df4-3b1d-4c7c-9cfe-03b9c5c05962
Ahmadu Garba Ibrahim	e2bd7b91-a0a4-4658-90d6-daacd3765325			232 Tank Battalion	e2bd7b91-a0a4-4658-90d6-daacd3765325	Commander	e2bd7b91-a0a4-4658-90d6-daacd3765325			Colonel	e2bd7b91-a0a4-4658-90d6-daacd3765325
A. Akinyemi	7902117a-610f-4b80-bf43-95c464c95c4b			23 Armoured Brigade	7902117a-610f-4b80-bf43-95c464c95c4b	Commander	7902117a-610f-4b80-bf43-95c464c95c4b			Brigadier General	7902117a-610f-4b80-bf43-95c464c95c4b
Aba Popoola	fb5b60cc-ac5d-4bce-80d3-ab0e8579af04;40e996bb-3f68-41d6-8d7d-07a1886137d0	ABA Popoola ; Popoola	d13c203d-33ed-425a-aba6-4f53ed199fc7;6be6f196-d164-4859-ad6d-32c4aef590d1	23 Armoured Brigade	fb5b60cc-ac5d-4bce-80d3-ab0e8579af04;d13c203d-33ed-425a-aba6-4f53ed199fc7;40e996bb-3f68-41d6-8d7d-07a1886137d0;6be6f196-d164-4859-ad6d-32c4aef590d1	Commander	fb5b60cc-ac5d-4bce-80d3-ab0e8579af04;d13c203d-33ed-425a-aba6-4f53ed199fc7;40e996bb-3f68-41d6-8d7d-07a1886137d0;6be6f196-d164-4859-ad6d-32c4aef590d1	Acting Commander	fb5b60cc-ac5d-4bce-80d3-ab0e8579af04	Colonel	fb5b60cc-ac5d-4bce-80d3-ab0e8579af04;d13c203d-33ed-425a-aba6-4f53ed199fc7;6be6f196-d164-4859-ad6d-32c4aef590d1
Bello Mohammed	24ad030d-abe7-462d-9fb1-829df7df5c68;5426e31f-7337-49f7-b896-7562d44153fd	B.A. Mohammed	42787f7c-4e2d-44c8-91a1-846be63daade	23 Armoured Brigade	24ad030d-abe7-462d-9fb1-829df7df5c68;5426e31f-7337-49f7-b896-7562d44153fd;42787f7c-4e2d-44c8-91a1-846be63daade	Commander	24ad030d-abe7-462d-9fb1-829df7df5c68;5426e31f-7337-49f7-b896-7562d44153fd;42787f7c-4e2d-44c8-91a1-846be63daade			Brigadier General	5426e31f-7337-49f7-b896-7562d44153fd;42787f7c-4e2d-44c8-91a1-846be63daade
D. Danlami	c340eed2-80e3-4910-8d95-a49d30bc23c1			23 Armoured Brigade	c340eed2-80e3-4910-8d95-a49d30bc23c1	Commander	c340eed2-80e3-4910-8d95-a49d30bc23c1			Brigadier General	c340eed2-80e3-4910-8d95-a49d30bc23c1
Fatai Oladipo Alli	96b4be35-d114-4d2e-a6f2-b02f0fa7532f;f03b5693-a11c-45a8-aa32-2778736b9ec0;7df7db45-577f-45de-8e61-8e9e92054988;04c474a4-6f48-4623-be48-f936acf8adda	Fatai Alli ; F.O. Alli ; F.O.Alli ; FO Ali	96b4be35-d114-4d2e-a6f2-b02f0fa7532f;749e748d-a349-4c45-b524-f174d70909c8;8765405d-9970-4ce0-9d20-0ed4a74a200e;b4fa4a6b-0560-42e7-a2b4-d56856b0d53e;5283e2de-60bb-4286-b941-e35938d9ff3c;efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e;002fcbe4-503c-400d-8cc0-77a395570ade;e7e2f981-76e5-48bc-9226-03ac6c0482c4	23 Armoured Brigade	96b4be35-d114-4d2e-a6f2-b02f0fa7532f;8765405d-9970-4ce0-9d20-0ed4a74a200e;f03b5693-a11c-45a8-aa32-2778736b9ec0;7df7db45-577f-45de-8e61-8e9e92054988;b4fa4a6b-0560-42e7-a2b4-d56856b0d53e	Commander	96b4be35-d114-4d2e-a6f2-b02f0fa7532f;8765405d-9970-4ce0-9d20-0ed4a74a200e;f03b5693-a11c-45a8-aa32-2778736b9ec0;7df7db45-577f-45de-8e61-8e9e92054988;b4fa4a6b-0560-42e7-a2b4-d56856b0d53e			Brigadier General	8765405d-9970-4ce0-9d20-0ed4a74a200e;f03b5693-a11c-45a8-aa32-2778736b9ec0;7df7db45-577f-45de-8e61-8e9e92054988;04c474a4-6f48-4623-be48-f936acf8adda
Fatai Oladipo Alli	96b4be35-d114-4d2e-a6f2-b02f0fa7532f;f03b5693-a11c-45a8-aa32-2778736b9ec0;7df7db45-577f-45de-8e61-8e9e92054988;04c474a4-6f48-4623-be48-f936acf8adda	Fatai Alli ; F.O. Alli ; F.O.Alli ; FO Ali	96b4be35-d114-4d2e-a6f2-b02f0fa7532f;749e748d-a349-4c45-b524-f174d70909c8;8765405d-9970-4ce0-9d20-0ed4a74a200e;b4fa4a6b-0560-42e7-a2b4-d56856b0d53e;5283e2de-60bb-4286-b941-e35938d9ff3c;efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e;002fcbe4-503c-400d-8cc0-77a395570ade;e7e2f981-76e5-48bc-9226-03ac6c0482c4	23 Armoured Brigade	96b4be35-d114-4d2e-a6f2-b02f0fa7532f;8765405d-9970-4ce0-9d20-0ed4a74a200e;f03b5693-a11c-45a8-aa32-2778736b9ec0;7df7db45-577f-45de-8e61-8e9e92054988;b4fa4a6b-0560-42e7-a2b4-d56856b0d53e	Commander	96b4be35-d114-4d2e-a6f2-b02f0fa7532f;8765405d-9970-4ce0-9d20-0ed4a74a200e;f03b5693-a11c-45a8-aa32-2778736b9ec0;7df7db45-577f-45de-8e61-8e9e92054988;b4fa4a6b-0560-42e7-a2b4-d56856b0d53e			Major General	8765405d-9970-4ce0-9d20-0ed4a74a200e
J.O Nwaogbo	a6cdf2d5-9e1c-434e-a9a3-a0d08e54595e	J.O. Nwaogbo	efdd2a74-48b9-4d68-90c0-bc1f2c40477b	23 Armoured Brigade	a6cdf2d5-9e1c-434e-a9a3-a0d08e54595e;efdd2a74-48b9-4d68-90c0-bc1f2c40477b	Commander	a6cdf2d5-9e1c-434e-a9a3-a0d08e54595e;efdd2a74-48b9-4d68-90c0-bc1f2c40477b			Major General	efdd2a74-48b9-4d68-90c0-bc1f2c40477b
John N. Nwaoga	25af78d0-58de-4799-b426-d4bff069a7f2;ca4dd04d-be21-4a35-b114-129ba3b28340	John Nwoaga ; J.N Nwaoga	28c1c516-639c-4c6c-9171-bc9e4fd26f40;1b0468c5-0cfb-421d-aed1-68df862cb613;f8c4d412-7a10-441f-9e23-f768ca31ae86;36a978f0-e1ef-4e88-ac3c-1e1e2bdbdd9a;a3a3fbe6-ddc5-451c-a1db-78fe410df04e	23 Armoured Brigade	25af78d0-58de-4799-b426-d4bff069a7f2;ca4dd04d-be21-4a35-b114-129ba3b28340;1b0468c5-0cfb-421d-aed1-68df862cb613;f8c4d412-7a10-441f-9e23-f768ca31ae86;36a978f0-e1ef-4e88-ac3c-1e1e2bdbdd9a	Commander	25af78d0-58de-4799-b426-d4bff069a7f2;ca4dd04d-be21-4a35-b114-129ba3b28340;1b0468c5-0cfb-421d-aed1-68df862cb613;f8c4d412-7a10-441f-9e23-f768ca31ae86;36a978f0-e1ef-4e88-ac3c-1e1e2bdbdd9a			Brigadier General	25af78d0-58de-4799-b426-d4bff069a7f2;ca4dd04d-be21-4a35-b114-129ba3b28340;1b0468c5-0cfb-421d-aed1-68df862cb613;f8c4d412-7a10-441f-9e23-f768ca31ae86;36a978f0-e1ef-4e88-ac3c-1e1e2bdbdd9a
