unit:name_and_other_names
'A' Div. Ugh.
'A' Division
'A' Division Police Command
'A' Division, Jos
'A' division police station
'B' Department of Operations
'B' Div. Ugh.
'B' Division
'B' Division Bukuru
'B' Division Police Station
'C' Division Police station
'One' Brigade
1 Army Brigade
1 Battalion
1 Battalion Army
1 Bde
1 Brigade
1 Brigade Garrison
1 Division
1 Division Garrison
1 Division Garrison Command
1 Division Internal Security Force
1 Mechanisd Army Division
1 Mechanised Division
1 Nigerian Battalion (AFISMA)
1 PMF
1 Police Mobile Force
101 PAF
102 AMC
103 BN
103 Battalion
103 PAG
104 PMG
106 NAF Camp Abuja
106 Nigerian Air Force Camp
107 NAF Camp Lagos
107 Nigerian Air Force Camp
108 NAFH
108 Nigerian Air Force Hospital Abuja
109 SIG
10PMF
111 Battalion
111 SF Bn
111 Special Forces Battalion
111th Special Forces Battalion
112 Battalion
112 Task Force Battalion
113 Battalion
115 Task Force Battalion
117 Brigade of Guards
117 Task Force Battalion
119 Battalion
119 Task Force Battalion
11PMF
12 Brigade
120 Task Force Battalion
121 Task Force Battalion
12PMF
13 Amphibious Brigade
13 Amphibious Brigade Garrison
13 Brigade
13 Brigade Garrison
13 Infantry Brigade
13 Motorised Brigade
130 Battalion
133 Special Force Battalion
133 Special Forces Battalion
134 Battalion
14 Brigade
14 Brigade Garrison
14 PMF
14 Squadron
143 Battalion
143 Infantry Battalion
143 Infantry Battalion for special forces
143 Rangers Battalion
143rd Infantry Battalion
144 Battalion
145 Battalion
145 Bn
146 Battalion
146 Mechanised Battalion
149 Battalion
14PMF
14th Brigade
151 Battalion
151 Task Force Battalion
152 Battalion
154 Task Force Battalion
155 Task Force Battalion
156 Task Force Battalion
157 Battalion
157 Task Force Battalion
159 Task Force Battalion
15PMF
16 Brigade
16PMF
16th brigade
174 Battalion
174 Bn
174 Mechanised Battalion
176 Battalion
176 Guards Battalion
176 Special Forces Battalion
176 Special Forces Guards Battalion
177 Battalion
177 Guard Battalion
