title,page,published_on,source_url,archive_url,archive_timestamp,country,key,publication_title,new_pub_id
Military recounts troop's success in Adamawa,,2015-03-10,http://thenationonlineng.net/new/military-recounts-troops-success-in-adamawa/,https://web.archive.org/web/20150518174130/http://thenationonlineng.net/new/military-recounts-troops-success-in-adamawa/,2015-05-18T17:41:30,Nigeria,NigeriaThe Nation,The Nation,a8df2f4e-c4b2-4329-bf08-d6b525996d07
Nigeria deploys 700 soldiers to Liberia,,2015-06-26,http://thenationonlineng.net/nigeria-deploys-700-soldiers-to-liberia/,https://web.archive.org/web/20150927145213/http://thenationonlineng.net/nigeria-deploys-700-soldiers-to-liberia/,2015-09-27T14:52:13,Nigeria,NigeriaThe Nation,The Nation,a8df2f4e-c4b2-4329-bf08-d6b525996d07
Why insecurity is escalating – Buratai,,2017-08-05,http://thenationonlineng.net/insecurity-escalating-buratai/,https://web.archive.org/web/20170906155743/http://thenationonlineng.net/insecurity-escalating-buratai/,2017-09-06T15:57:43,Nigeria,NigeriaThe Nation,The Nation,a8df2f4e-c4b2-4329-bf08-d6b525996d07
"Boko Haram attacks Bama, service chiefs to visit Borno",,2017-10-01,https://punchng.com/boko-haram-attacks-bama-service-chiefs-to-visit-borno/,https://web.archive.org/web/20180806145757/https://punchng.com/boko-haram-attacks-bama-service-chiefs-to-visit-borno/,,Nigeria,NigeriaThe Punch,The Punch,fd1c5183-a370-442a-8002-e174a9d8d87a
Army redeploys 127 senior officers,,2014-02-13,http://www.punchng.com/news/army-redeploys-127-senior-officers/,https://web.archive.org/web/20150726182529/http://www.punchng.com/news/army-redeploys-127-senior-officers/,2015-07-26T18:25:29,Nigeria,NigeriaThe Punch,The Punch,fd1c5183-a370-442a-8002-e174a9d8d87a
"New GOC, others appointed as Army retires 7 generals",,2013-09-04,http://sunnewsonline.com/new/?p=37444,https://web.archive.org/web/20151129042412/http://sunnewsonline.com/new/new-goc-others-appointed-as-army-retires-7-generals/,2015-11-29T04:24:12,Nigeria,NigeriaThe Sun,The Sun,7787a9e0-eb02-4236-a491-0392404b0e64
"New Theatre Commander Ops LAFIYA DOLE, Gen Attahiru resumes",,2017-05-30,http://sunnewsonline.com/new-theatre-commander-ops-lafiya-dole-gen-attahiru-resumes/,https://web.archive.org/web/20171016145937/http://sunnewsonline.com/new-theatre-commander-ops-lafiya-dole-gen-attahiru-resumes/,2017-10-16T14:59:37,Nigeria,NigeriaThe Sun,The Sun,7787a9e0-eb02-4236-a491-0392404b0e64
Army deploys another 800 to Darfur,,2013-01-13,http://sunnewsonline.com/new/army-deploys-another-800-to-darfur/,https://web.archive.org/web/20150714030036/http://sunnewsonline.com/new/army-deploys-another-800-to-darfur/,2015-07-14T03:00:36,Nigeria,NigeriaThe Sun,The Sun,7787a9e0-eb02-4236-a491-0392404b0e64
Army moves against terrorism in Lagos,,2014-02-07,http://sunnewsonline.com/new/?p=51108,https://web.archive.org/web/20140209221915/http://sunnewsonline.com/new/national/army-moves-terrorism-lagos/,2014-02-09T22:19:15,Nigeria,NigeriaThe Sun,The Sun,7787a9e0-eb02-4236-a491-0392404b0e64
Former President Obasanjo’s Son Shot In Mubi By Boko Haram,,2014-09-08,Accessed via Lexis,No archive available (Accessed through Lexis),,Nigeria,NigeriaThe Sun,The Sun,7787a9e0-eb02-4236-a491-0392404b0e64
GOC to soldiers: Shoot Ondo poll troublemakers,,2012-10-19,http://sunnewsonline.com/new/shoot-troublemakers-goc-orders-soldiers/,https://web.archive.org/web/20150707151624/http://sunnewsonline.com/new/shoot-troublemakers-goc-orders-soldiers/,2015-07-07T15:16:24,Nigeria,NigeriaThe Sun,The Sun,7787a9e0-eb02-4236-a491-0392404b0e64
Kebbi gov. donates cash to slain soldiers’ wives,,2017-08-31,http://sunnewsonline.com/kebbi-gov-donates-cash-to-slain-soldiers-wives/,https://web.archive.org/web/20170831171939/http://sunnewsonline.com/kebbi-gov-donates-cash-to-slain-soldiers-wives/,2017-08-31T17:19:39,Nigeria,NigeriaThe Sun,The Sun,7787a9e0-eb02-4236-a491-0392404b0e64
Tambuwal Flays Poor Ranking Of Nigerian Varsities,,2015-12-09,http://www.thetidenewsonline.com/2015/12/09/tambuwal-flays-poor-ranking-of-nigerian-varsities/,https://web.archive.org/web/20171221150602/http://www.thetidenewsonline.com/2015/12/09/tambuwal-flays-poor-ranking-of-nigerian-varsities/,2017-12-21T15:06:02,Nigeria,NigeriaThe Tide,The Tide,a445d5ae-dde0-4d87-a8ae-9dd85bcfdf74
"13 Killed, 40 Injured in Bauchi Bomb Tragedy",,2011-05-30,http://www.thisdaylive.com/articles/13-killed-40-injured-in-bauchi-bomb-tragedy/92307/,https://web.archive.org/web/20151222210554/http://www.thisdaylive.com/articles/13-killed-40-injured-in-bauchi-bomb-tragedy/92307/,2015-12-22T21:05:54,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
"2011 - Army Will Review Operations, Says Dambazau.",,2010-05-19,http://allafrica.com/stories/201005190193.html,,,Nigeria,NigeriaThis Day,This Day,a3a288a6-0200-4f87-936b-f525342f291a
